japanese,english
彼は私に、「明日ご連絡できるように、電話番号を私に教えてもらえませんか」と言った。,He asked me to tell him my phone number so that he could contact me the next day.
彼は思っていることを言わなかった。,He didn't say what he was thinking.
声が聞き取りにくいので、もう少し大きな声でお話しください。,I can't hear you very well. Please speak a little louder.
私たちは夕食を食べながら将来の計画について話し合った。,We talked about our future plans over dinner.
彼女は私に自分の子どもたちのことについて、またどんなに自分がその子たちのことを愛しているかについて語った。,She told me about her children and how much she loved them.
オーストラリアでは英語を話す。,They speak English in Australia.
うそをついてはいけません。 本当のことを言いなさい。,Don't tell lies. Tell the truth.
父とその件について話し合いたい。,I want to talk over the matter with my father.
彼は教え子と結婚したと言われている。,People say that he got married to one of his former students.
医者は私に酒とタバコをやめるように言った。,The doctor told me to stop drinking and smoking.
窓の外を見たが，屋根以外何も見えなかった。,"I looked out (of) the window, but I could see nothing but roofs."
耳を澄ませば，外で雨が降っているのが聞こえるよ。,"If you listen carefully, you can hear the rain falling outside."
彼女はそのフットボールの試合に興奮しているように見えた。,She looked excited by the football game.
彼の提案はずいぶん奇妙に聞こえたので，みんなが大笑いをした。,His suggestion sounded so strange that everyone laughed out loud.
私は子どもたちと遊んでいると楽しい。,I feel happy when I play with children.
なぜ彼女がそんなにお金を使うのかわからない。,I cannot understand why she spends so much money.
彼は，自分でも間違えたのはわかっていると言ったが，そのことを申し訳ないとは感じていないようだった。,"He said he realized that he'd made a mistake, but he didn't seem to feel sorry for it."
はじめ彼だとわからなかった。 なぜって，年以上も会っていなかったんだから。,I didn't recognize him at first; I hadn't seen him for more than twenty years.
そのコンピュータはとても高いことがわかった。,I found (that) the computer was very expensive.
いつの間にか彼女はそっと歌を口ずさんでいた。,She found herself singing softly.
先生は彼に一生懸命勉強させた。,The teacher made him study hard.
戻りましたら，彼に電話をかけ直させましょうか。,Shall I have him call you back when he gets back?
彼女はヨーロッパ旅行をしたかったが，父親はどうしても行かせなかった。,"She wanted to go on a trip to Europe, but her father wouldn't let her (go)."
彼らは先輩のユニフォームを洗わされた。,They were made to wash the older players' uniforms.
彼女は歯を抜いてもらったので，とても痛がっていました。,She was in great pain because she had had a tooth pulled out.
ロンドン滞在中は英語でわかってもらうのに苦労した。,During my stay in London I had trouble making myself understood in English.
どうして彼女がまだ代だと思ったのですか。,What made you think that she was still in her twenties?
長らくお待たせしてすみませんでした。,I'm sorry to have kept you waiting so long.
仕事を中途半端にしておいてはいけない。,Don't leave your work half finished.
外国語を勉強すると，他の国の人々の考え方を理解するのに役立つ。,Learning a foreign language helps you (to) understand how people in other countries think.
初めて鯨を見たとき，最初それが何だかわかりませんでした。,"When I saw a whale for the first time, I couldn't tell what it was at first."
ここに来たのは今回が初めてですか？,Is this the first time you've been here?
彼が私のもとを去ってはじめて，自分がいかに深く彼のことを愛しているかに気づいた。,I did not realize how deeply I loved him until he (had) left me.
時まで待っていてください。 それまでには戻りますから。,Please wait until six. I'll be back by that time.
，ヶ月で外国語をものにするなんて，不可能です。,It is impossible to learn a foreign language in a few months.
息子が大学に入学してから一ヶ月ほど後に，彼から私に電話があり，一週間後に帰郷するということを伝えてきた。,"About a month after my son entered university, he gave me a call saying that he would come home in a week."
近ごろはこれまで以上に暮らしにくくなっている。,Nowadays life is getting even harder.
このところ仕事が忙しくて十分な睡眠がとれていないんです。,Recently I haven't had enough sleep because of my job.
一度約束したら，たとえ守るのが難しいとわかっても，破るべきではない。,"Once you make a promise, you should not break it even if you find it hard to keep it."
先日，小学生の時に住んでいた町のことを考えながら，何時間も過ごしてしまった。,The other day I spent many hours thinking about the town where we (had) lived when I was in primary school.
近ごろは，海外留学する日本人学生の数が減っている。,Nowadays the number of Japanese students who go abroad to study is decreasing.
大きなスーパーが近所に建設中なので，もうすぐ手ごろな値段で買い物ができるようになります。,"A large supermarket is being built near my house, so soon we'll be able to buy things at reasonable prices."
昨日の台風で，この地区のたくさんの建物が壊されてしまった。,"Due to the typhoon yesterday, a lot of buildings in this neighborhood have been destroyed."
実家を離れてから年になります。,It has been five years since I left home.
彼が駅に着いたとき，ちょうど終電が出るところだった。,The last train was about to leave when he arrived at the station.
ひどい風邪をひいた時は，たいてい健康管理を十分にしていなかったせいである。,"When you have caught a bad cold, it is usually because you haven't been taking enough care of yourself."
彼が医者にかかったとき，すでに発病してひと月も経っていた。,He had been sick for a month when he finally consulted a doctor.
彼が元気になるまでには，，週間かかるでしょう。,It will be two or three weeks before he gets better.
あなたが戻るまでには，彼はあなたの車を直してしまっているでしょう。,He will have repaired your car by the time you get back.
先月，年ぶりに故郷に帰った。,Last month I went back to my hometown for the first time in ten years.
人は高齢になるにつれて，頑固になる。,"As you grow older, you become more obstinate."
肉はすぐ悪くなるから，できるだけ早く食べてね。,"Meat goes bad quickly, so eat it as soon as possible."
彼は歳になる前に，親元を離れて東京に引っ越した。,He left home and moved to Tokyo before he turned twenty.
ものすごく大きな圧力をかけると，炭素はダイヤモンドになる。,"Under enormous pressure, carbon turns into diamond."
はじめ彼女は彼のことが好きではなかったが，一緒に仕事をしているうちに，二人はお互いを愛するようになった。,"At first she didn't like him, but while they were working together, they came to love each other."
最近，日本の国立大学は，外国人を教授に雇うようになってきた。,Recently Japanese national universities have begun to hire foreigners as professors.
たった日の練習で，パソコンが使えるようになったの？,Did you learn to use a personal computer after only two days' practice?
そんなにがんばって働き続けたら，病気になってしまうよ。,You'll probably end up getting sick if you go on working so hard.
この状況では，私たちは危険を冒して徹夜で車を走らせないといけないことになる。,This situation means that we'll have to run a risk and drive all night long.
金持ちになったからといって，幸せになれるということにはならない。,"Just because you (have) become rich, it doesn't mean follow that you can be happy."
関東地方は明日は雨でしょう。,Tomorrow there will be rain in the Kanto district.
我が社には，コンピュータを仕事で使っている人がたくさんいる。,"In our company, there are lots of people who use computers in their jobs."
「私の絵の描き方には，何も変わったところはありません」と画家は言った。,"The painter said, ""There is nothing unusual about the way I paint pictures."""
それをやってみることに意味があるなんて，本当に思うの？,Do you really think there's any point in giving it a try?
地球温暖化をどう阻止するかに関しては，解決されるべき問題がまだたくさんある。,Many problems remain to be solved as to how to stop global warming.
アメリカ合衆国では，土曜と日曜には学校がない。,There is no school on Saturdays and Sundays in the United States.
もう一つお話ししたいことがあるのですが。,I have another thing to talk to you about.
札幌は日本の北部にあります。,Sapporo lies in the north of Japan.
毎年この時期になると，全国各地でこうしたお祭りがあります。,"At this time of the year, festivals like this are held in many parts of the country."
スマホがさらに発達することによって，コミュニケーションの仕方に今後大きな変化が起こるだろう。,"Because of the further developments in the smartphone, there are likely to be great changes in the way we communicate."
結婚して子どもを持つかどうかを決めるのは，一人一人の問題である。,It is up to each individual to decide whether or not to marry and have children.
話をするととても気持ちのいい人だから，君が新しい上司と仲良くやっていくのは難しいことじゃないよ。,"You'll find it easy to get along with your new boss, since he is very pleasant to talk to."
駅前でギターを弾きながら歌を歌うのが，兄の一番の楽しみなのです。,Singing songs while playing the guitar in front of the station is my brother's greatest pleasure.
彼女のことで一番感心するのは，彼女がとても知的だということです。,What strikes me most about her is that she is quite intellectual.
きれいになりさえすれば，誰がその部屋の掃除をするかは問題ではない。,"It doesn't matter who cleans the room, just as long as it gets cleaned."
その試験に受かるかどうかは，君がどれだけ一生懸命に勉強するかにかかっている。,Whether you can pass the exam or not depends on how hard you study.
うちの息子で困るのは，どうしても私の言うことに耳を貸そうとしないことだ。,The trouble with my son is that he won't listen to me.
彼を怒らせるようなことは，何一つ言わないように気をつけた。,I was careful not to say anything that would make him angry.
空から白いものが降ってくるのが見えたが，それは季節外れの雪だった。,I saw something white falling from the sky — it was unseasonable snow.
多くの動物は，人間が気がつかないさまざまなものを感知することができる。,Many animals can sense things which human beings are not aware of.
今度は必ず妹さんを連れてきてね。,Be sure to bring your sister next time.
彼はつまらない間違いをしがちだ。,He is apt to make silly mistakes.
彼女は困っている人をいつも親切に助けてあげる。,She is always kind enough to help people in trouble.
彼はその結果に満足しているようだ。,He seems to be satisfied with the result.
多くの興奮した観衆が選手に物を投げつけ始めるのを見て，ほんとうに気が滅入った。,It was really depressing to see a lot of excited spectators begin to throw things at the players.
悪い習慣は，身につけるのは簡単だが，直すのは難しい。,Bad habits are easy to acquire but difficult to get rid of.
そこへはバスを使うのが便利ですよ。,It would be convenient for you to take the bus there.
旅行を延期したのは賢明だったね。,It was sensible of you to put off the trip.
全員が事実をすべて知らされることが重要だ。,It is important that everybody be should be told all the facts.
彼女の手紙に彼が腹を立てたのも，当然のことだ。,It is hardly surprising that he was offended by her letter.
その女優は見かけほど若くはない。,The actress is not *as young as she looks.
困ったことに，彼は昔ほど一生懸命に働いていない。,The trouble is that he doesn't work *as hard as he used to.
試験は思ったほど難しくなかったのでほっとした。,"To my relief, the exam was not *as hard as I (had) expected."
エベレストは世界で最も高い山だ。,Mt. Everest is the highest mountain in the world.
時間は最も貴重なものである。,Time is the most precious of all.
イギリスの天気は世界で最も変わりやすい。,The weather in Britain is the most changeable in the world.
私は自分の部屋で音楽を聴いているときが一番幸せを感じる。,I feel happiest when I am listening to music in my room.
こんな寒い冬は初めてだ。,This is the coldest winter (that) we have ever had.
高等教育の重要性が今日ほど大きくなったことはなかった。,Never before has higher education been *as important (as it is today).
あなたと初めて会った日のことを，今でもまるで昨日のことのように（はっきりと）覚えています。,I still remember the day when I first met you (as clearly) as if it were yesterday.
中国の人口は日本の約倍である。,The population of China is about ten times as large as that of Japan.
今日の世界の人口は年前の倍である。,The population of the world today is twice as large as it was  years ago.
地下鉄を利用すればバスの分のの時間でそこに行けます。,"By subway, you can get there in a third as much time as (you can) by bus."
日本人は自分の意見をできるだけ遠回しに伝える傾向がある。,The Japanese tend to express their opinions as indirectly as they can.
若いうちにできるだけ多くの本を読みなさい。,Read as many books as you can while you are young.
祖父は年をとればとるほど，頑固になった。,"The older my grandfather grew, the more obstinate he got."
最近タバコをやめる人がますます増えている。,Nowadays more and more people are giving up smoking.
この冬は例年よりはるかに雪が多かった。,This winter it snowed much more than usual.
学生がうるさかったので，先生はいっそう大声で話さなければならなかった。,The teacher had to speak all the louder because the students were noisy.
"彼は,冊を超える本を持っているが，僕はそんなには持っていない。","He has more than , books, but I don't have as many."